IMO,MMSI
9548500,413374950
9682019,413304280
9682021,413453930
9060211,413376110
9668958,413362910
9594353,413302210
9598555,413302550
9594004,413302220
9594016,413302560
9536648,412476970
9579640,412762980
9630298,412379020
9357987,412206920
9618056,413442340
9627332,413442350
9653783,413446820
9573385,413301860
9573397,413301870
9573402,413301880
9573414,413301890
9573426,413301910
9573438,413301920
9565431,413355360
9676462,413362680
9573452,413355370
9547556,412043780
9722326,412704260
9445760,413043030
9786504,538006851
9646390,413479480
8843915,412320880
9642643,413326790
9578311,413438190
9690377,412477490
9657272,413696870
9601352,413440190
9663219,413361990
9585156,413439220
9406245,413053520
9702821,413451590
9634141,413443060
9592355,412302990
9417232,412302150
9508184,413316000
9510917,413317000
9589700,413302110
9598531,413302120
9488255,413318000
9500027,413319000
9630341,413449590
7818224,412824000
9241920,730151081
9277242,375589000
9675250,730151035
9517783,730095000
9517848,730093000
9186015,345050061
9121508,730063000
9526837,352719000
9550503,357296000
9396397,730125000
9381093,730044000
9579377,730079000
8424628,730085000
9654414,730127000
9654426,730128000
9654438,730151010
9562556,730151030
9536507,730151136
9637648,730105000
9517745,775994480
9303625,730092000
9695547,730151181
7404138,616149000
7517844,616464000
9205768,616928000
9142758,466501280
9676060,615404000
9600700,615401000
8107048,677037900
8210106,677001050
8108107,677036800
9210830,563786000
9492995,518330000
9545883,518706000
9492995,518330000
9259654,518274000
9545883,518706000
9695779,244810135
8615605,619006000
9366615,238402640
9517599,238258000
7722102,238230000
7722097,238227000
7708170,238234567
8920933,238112940
8715235,238044000
9695559,377006000
9550498,306061000
9510668,306060000
9144677,306147000
9186041,306411000
9660322,306092000
9577472,306044000
9577484,306058000
8607476,306091000
8917209,306366000
9420007,209268000
9369631,212517000
9166364,212570000
9171747,209121000
9166376,210727000
9579602,209028000
9546588,209360000
9007178,219320000
9130729,230339000
8407711,209876000
9517812,375451000
9677947,209855000
9555383,273354980
9568976,212200000
9572496,209483000
8414154,209126000
8211576,259915000
8203141,316197000
9056789,258313000
9631008,375351000
9631010,375283000
9150224,259398000
9406415,212163000
9406427,212165000
8321591,209618000
9419993,209013000
7403146,209005000
9533385,210687000
9383182,503658000
8200333,212839000
9591909,566283000
9369588,210135000
9411915,209895000
9420875,210628000
9163817,212229000
9199995,210396000
9631060,210578000
9375197,209844000
9375185,209398000
8942826,219996000
9413468,220592000
9388584,220583000
9151589,219408000
9151577,219296000
9388601,219017782
9388651,220590000
9388613,219017783
9388637,220588000
9388596,220584000
9388649,220589000
9388663,220591000
9388625,220587000
9246736,235490000
9254381,316130006
9193783,219699000
9425849,220581000
9425746,220580000
9425710,220577000
9425734,220579000
9425722,220578000
8401949,219335000
7921007,219189000
8401963,219555000
9475791,273370090
9423839,219375000
9547867,229877000
9245902,220172000
9245914,220197000
8027779,219829000
8703995,244934000
7533367,219937000
9259238,219002416
7711799,219001543
8027767,265703010
9455404,220582000
9193795,219665000
9198032,219826000
9198068,219011717
9198044,220446000
7404841,219589000
9592977,219449000
8127579,219321000
8418564,219017151
9191371,232808000
9548366,219015425
9548354,219014875
7116858,219942000
9059248,219012959
9192076,219159000
9175250,220476000
9468372,219339000
7401277,518782000
9691448,219018969
9114361,219679000
6930477,219000548
7822421,220124000
9681003,621819018
9680994,621819019
9204386,533000107
9127306,325607000
9596478,622122211
9237333,470683000
9237321,355827000
9645554,503011630
9600463,245048000
9647320,244913000
9704946,244770069
9563861,246627000
9447093,244564000
9494993,235101749
9186027,735059214
9129287,622121525
9680449,622121528
8517633,622122451
9346299,312061000
9346287,312356000
9346275,312355000
9327968,622121646
9327932,622121645
8212142,622121644
8310932,622121620
8120911,622121617
8120909,622121616
8310918,622121618
8123004,622122402
8121355,622122202
8517633,622122451
9314337,622166804
9314325,622166801
9314301,622166803
9314313,622166802
7422283,622122201
9038361,604297409
9569839,622112827
9060572,622123202
9574688,622123244
9581485,252
9581497,622123999
9581502,622111004
9429429,622123000
9544906,622123990
9544970,622123993
9544982,622123404
9547659,564569000
9421506,622121526
9305984,622123242
9218349,622123243
9429405,622123998
9581514,622111005
9375331,276636000
7330337,276809000
9277199,276504000
9287431,276776000
9222417,276421000
9315410,276588000
7607869,259369000
7527875,265548350
9157997,258365000
9602447,231846000
9602459,231848000
9495375,231847000
9342451,231807000
9548342,231809000
9155236,231801000
9108752,231803000
9175262,231805000
9114359,231849000
9407897,231076000
9201786,231067000
9458559,231074000
9358618,231013000
8900658,503777000
8900660,503573000
8900672,503574000
9487823,231085000
8521464,230644000
7422386,230282000
7927946,230178000
7927934,230182000
5412026,230990270
7341166,230985150
7618399,230276000
7917965,230279000
9426958,230989380
8006828,230992970
9230256,230947000
7612644,211215380
9154892,230938560
7407568,230940340
7368580,230995660
8418174,230358000
8503503,230202000
9261190,230660000
9230244,230946000
9682435,230024000
9546540,253260000
9394715,253482000
9619098,253487000
9619153,377315000
9492036,253059000
9269518,228186700
9281970,228327700
9175652,228050000
8104216,227246000
9320934,657122100
9340403,228322600
9351177,228326800
9305831,228193700
9293040,228179700
9393694,228279900
9393709,228284800
9393735,228293700
9393711,228287800
9393723,228287900
9395848,660003900
9032111,227016900
9032123,227272000
9202728,227006760
9202730,227023200
9202742,227006780
9393747,228293600
9393759,228299700
9393761,228299600
9746906,228067800
9122813,227004200
8617342,228051000
9002051,227005260
9002063,227005270
8615617,227004510
8713744,227004520
8521153,227004660
9002075,227005280
9192521,227006690
9192571,227006650
9192583,227006660
9192595,227006670
9192569,227006750
9192533,227006730
9639919,228027700
7305930,227004460
9422172,228283700
9422184,228283600
8402618,227017200
7302732,228124800
9434010,228296900
9398826,228278700
9502702,228344800
9648180,228041900
9280421,228327800
9582764,246196000
9308687,226263000
9308699,226265000
9320922,228329900
9429522,347001900
9653202,246895000
9732735,244850971
9616565,228002700
9327956,213062000
9525962,211574000
9725093,211667760
9725108,211684020
9556026,218413000
9210995,211330370
9107409,211223780
7407817,211223400
9032185,211288480
9376191,218384000
7726902,211215340
9320908,211138300
9429560,218321000
8007200,211218810
9021112,211216480
9021124,211216490
9036234,211216500
9036246,211247120
9158472,211260260
9338993,211876000
9158484,211264190
9214989,211327660
9350135,218003000
9376206,218393000
9376218,218257000
9693252,211625350
9693264,211625340
9429558,218197000
8116702,211290740
9183398,211278240
8912209,211290730
9036258,211207100
9036260,218767000
8500422,211318180
8711409,211316470
8223036,235090761
8912223,211338510
9211212,211690000
9454307,211507280
9454319,211466070
9212278,211334830
9684756,377284000
9647409,211626350
9763241,376333000
8701090,211283410
9684768,377572000
7612620,245116000
9183403,211282710
9207687,211318770
9223681,509833840
8912211,211290720
7619290,211215550
7525205,235090782
7619288,211215560
7417604,211230440
9112739,259415000
8918590,211266470
9689081,376359000
9445863,211436040
9280433,220227000
8128212,211283440
9623142,245439000
9173977,211266430
9405693,211231520
8302088,258229000
9600724,627139000
9600736,627175000
9355848,236309000
9296028,236290000
9609756,236111903
9697105,565958000
9568615,236111629
9571208,236603000
9481037,236491000
9486037,236579000
9489467,538090470
9429508,518297000
9593232,255804260
9722986,241370000
9359480,239842700
9359519,239808200
9199452,239814500
9362504,375787000
9563110,240919000
9557109,240873000
8012011,247268600
8127919,232003478
9080895,503488000
9251975,503443000
9249659,503499000
7230135,241168000
7501364,239806100
7729710,237194900
9131292,503313000
7907415,247607000
6724713,239886300
